Timestamp,ES_Trade Close,ES_Trade Volume,HI_Trade Close,HI_Trade Volume,NQ_Trade Close,NQ_Trade Volume,VIX_Trade Close,VIX_Trade Volume
30/11/2020 19:20,3623.75,581,26447,38,12264,165,23.05,8
30/11/2020 19:25,3623,942,26444,58,12261.5,223,23.04,22
30/11/2020 19:30,3623,733,26442,61,12263,170,23.05,1
30/11/2020 19:35,3617.5,3095,26408,391,12249.75,806,23.2,108
30/11/2020 19:40,3617.25,3588,26412,221,12249.5,1064,23.2,52
30/11/2020 19:45,3617.5,1240,26416,127,12250,377,23.15,2
30/11/2020 19:50,3620.75,1940,26455,337,12256.75,377,23.1,13
30/11/2020 19:55,3620.5,933,26448,157,12256,237,23.1,46
30/11/2020 20:00,3621.5,1270,26449,97,12259.75,284,23.08,15
30/11/2020 20:05,3621,1421,26451,150,12258.5,380,23.1,15
30/11/2020 20:10,3624.25,1480,26459,128,12264.75,710,23,55
30/11/2020 20:15,3624.75,987,26463,88,12266.5,404,23,1
30/11/2020 20:20,3628.25,2985,26480,210,12285.25,1346,22.9,46
30/11/2020 20:25,3629.5,2109,26482,166,12299,2036,22.87,57
30/11/2020 20:30,3629,1593,26481,95,12293.75,1480,22.86,25
30/11/2020 20:35,3631.25,2163,26497,178,12294.5,771,22.8,63
30/11/2020 20:40,3631.5,2305,26495,146,12294,660,22.81,13
30/11/2020 20:45,3630,1481,26501,331,12291.25,347,22.85,27
30/11/2020 20:50,3628.5,1934,26489,133,12289.25,418,22.86,22
30/11/2020 20:55,3627.75,1240,26478,99,12287.25,334,22.9,26
30/11/2020 21:00,3627.5,1063,26478,63,12286.25,460,22.85,3
30/11/2020 21:05,3627.5,2325,26484,127,12285,937,22.91,60
30/11/2020 21:10,3627.5,1069,26476,59,12284.75,304,22.95,15
30/11/2020 21:15,3627.25,1590,26476,48,12277.5,4121,22.92,26
30/11/2020 21:20,3628.25,4931,26486,130,12277.5,2468,22.95,125
30/11/2020 21:25,3626.5,2265,26482,116,12273,5605,22.93,40
30/11/2020 21:30,3626,1153,26478,103,12272.5,1237,22.95,17
30/11/2020 21:35,3625,2091,26476,75,12266.25,988,23,8
30/11/2020 21:40,3625.25,1777,26470,128,12267,552,22.96,10
30/11/2020 21:45,3628.5,2742,26486,88,12275.25,587,22.86,60
30/11/2020 21:50,3627.25,2343,26485,163,12265.5,1088,22.93,22
30/11/2020 21:55,3628,1969,26491,115,12270.5,478,22.9,47
30/11/2020 22:00,3628.5,2176,26495,150,12274.25,1361,22.86,2
30/11/2020 22:05,3630.75,3596,26497,120,12278,868,22.85,139
30/11/2020 22:10,3631,2635,26495,125,12283.25,1223,22.81,2
30/11/2020 22:15,3630.75,1968,26486,112,12279.75,683,22.82,7
30/11/2020 22:20,3629.25,8432,26480,244,12279,2258,22.9,195
30/11/2020 22:25,3628,3238,26476,105,12275.5,817,22.9,22
30/11/2020 22:30,3628.5,5255,26477,61,12272.25,1827,22.95,188
30/11/2020 22:35,3628.25,29124,26422,917,12281.25,11450,22.95,852
30/11/2020 22:40,3624.25,19986,26444,452,12268.5,9347,23.08,724
30/11/2020 22:45,3623,14511,26458,575,12248.5,8711,23.02,867
30/11/2020 22:50,3620,21540,26428,362,12226.25,9942,23,909
30/11/2020 22:55,3625.5,17395,26461,386,12258.25,7131,22.93,779
30/11/2020 23:00,3622.75,12645,26456,218,12251.75,5410,22.99,493
30/11/2020 23:05,3622,16031,26457,191,12246,7054,22.91,667
30/11/2020 23:10,3621,14140,26447,158,12248.75,6492,23,781
30/11/2020 23:15,3618.75,16812,26444,226,12240.5,6186,23.05,500
30/11/2020 23:20,3616.75,17359,26436,188,12231.75,6604,23.02,525
30/11/2020 23:25,3617.25,12863,26437,230,12226.75,6025,23,339
30/11/2020 23:30,3612.75,18989,26420,221,12208.25,6981,23.2,661
30/11/2020 23:35,3607.5,24234,26387,549,12193.25,7721,23.3,450
30/11/2020 23:40,3600.75,32016,26388,391,12150.25,10476,23.5,1159
30/11/2020 23:45,3594.5,36422,26343,785,12099,13898,23.75,916
30/11/2020 23:50,3601,39212,26370,428,12132.5,13567,23.4,1388
30/11/2020 23:55,3605,23583,26367,322,12145.75,8413,23.25,953
01/12/2020 00:00,3609.5,20165,26360,334,12165.5,6206,23.14,580
01/12/2020 00:05,3609.5,21785,26371,246,12170.5,6368,23.15,854
01/12/2020 00:10,3609.25,17618,26373,217,12173.5,4850,23.13,353
01/12/2020 00:15,3606.75,10781,26366,178,12168,4015,23.2,356
01/12/2020 00:20,3604.5,18904,26345,285,12166.75,5592,23.34,805
01/12/2020 00:25,3604.75,16645,26334,254,12167.5,4267,23.35,839
01/12/2020 00:30,3601.5,16996,26300,785,12154.75,4661,23.55,868
01/12/2020 00:35,3597,27376,26288,759,12140.25,6379,23.65,1106
01/12/2020 00:40,3601.25,20710,26308,326,12172,5755,23.42,638
01/12/2020 00:45,3603.5,15777,26306,296,12187,5011,23.33,570
01/12/2020 00:50,3604.75,9830,26307,221,12194.25,4103,23.18,416
01/12/2020 00:55,3604.5,13225,26306,136,12198.25,3240,23.15,750
01/12/2020 01:00,3604,8527,26303,154,12193,3545,23.18,218
01/12/2020 01:05,3601.75,10362,26298,146,12183.75,3139,23.2,543
01/12/2020 01:10,3604.75,8623,26311,119,12187,2561,23.13,304
01/12/2020 01:15,3607.75,9419,26320,72,12201.75,3475,23.07,328
01/12/2020 01:20,3607.75,7593,26312,108,12205.75,2720,23.08,491
01/12/2020 01:25,3609.25,11138,26316,46,12201.25,2998,23.03,442
01/12/2020 01:30,3609.75,7451,26318,32,12211.75,2296,23.03,289
01/12/2020 01:35,3610,7253,26316,33,12210.5,2269,22.98,191
01/12/2020 01:40,3609.5,8262,26318,21,12204.75,2357,22.98,345
01/12/2020 01:45,3611,8920,26315,51,12206.5,3013,22.92,328
01/12/2020 01:50,3611.5,5755,26318,35,12205,2291,22.93,134
01/12/2020 01:55,3612.25,6451,26332,95,12205.5,1936,22.88,286
01/12/2020 02:00,3613.25,5366,26329,65,12214.5,3142,22.86,161
01/12/2020 02:05,3612.5,6272,26321,51,12214.5,2332,22.87,123
01/12/2020 02:10,3612.5,7808,26322,33,12222.5,2611,22.88,204
01/12/2020 02:15,3610,8277,26314,37,12210,2441,23,353
01/12/2020 02:20,3611.5,4390,26326,48,12216,1732,22.96,287
01/12/2020 02:25,3613,5645,26329,51,12226.5,2497,22.85,342
01/12/2020 02:30,3612.25,5470,26327,37,12220.75,1985,22.82,119
01/12/2020 02:35,3610.75,5894,26329,58,12225,2504,22.88,236
01/12/2020 02:40,3611.75,4396,26334,76,12230.75,1899,22.88,93
01/12/2020 02:45,3612.5,5638,26339,65,12234.5,2414,22.8,81
01/12/2020 02:50,3614.25,7497,26346,102,12245.75,3726,22.79,552
01/12/2020 02:55,3612,6074,26337,77,12237.25,2759,22.85,341
01/12/2020 03:00,3610.75,8316,26336,139,12236.5,2094,22.9,148
01/12/2020 03:05,3608,13697,#N/A,#N/A,12235.5,3266,22.9,541
01/12/2020 03:10,3609.75,9937,#N/A,#N/A,12240.5,2138,22.9,279
01/12/2020 03:15,3612.25,11293,#N/A,#N/A,12245.25,2937,22.77,416
01/12/2020 03:20,3611.75,7320,#N/A,#N/A,12241,1912,22.79,292
01/12/2020 03:25,3612.5,6057,#N/A,#N/A,12245.5,2458,22.72,242
01/12/2020 03:30,3614,7905,#N/A,#N/A,12253,2957,22.65,515
01/12/2020 03:35,3614,7634,#N/A,#N/A,12259.5,2207,22.63,285
01/12/2020 03:40,3612.5,5508,#N/A,#N/A,12261.5,2112,22.65,189
01/12/2020 03:45,3611.25,6081,#N/A,#N/A,12262.75,2062,22.66,382
01/12/2020 03:50,3613.25,8324,#N/A,#N/A,12270.75,2687,22.62,374
01/12/2020 03:55,3611.5,16649,#N/A,#N/A,12264.25,3628,22.67,270
01/12/2020 04:00,3621.75,27803,#N/A,#N/A,12290.25,5874,22.52,622
01/12/2020 04:05,3617.75,30396,#N/A,#N/A,12284.5,5858,22.6,1149
